learner,n_cities,bud0_rmse,gain_0_1,gain_1_2,gain_2_3,monotone_pct
HistGBM (shipped),47,20.957180898683006,23.624609740605642,0.02969901433269733,40.09215482852325,91.48936170212765
HistGBM shallow,47,20.25043825787052,24.116709770089926,0.015058561794103998,37.9486129027123,93.61702127659575
RandomForest,47,20.737641254703068,22.392676622076735,0.06746062638376642,39.619970428512666,95.74468085106383
Ridge (linear),47,20.56157869816829,24.163210169141724,0.02928169891276082,36.8148938482116,93.61702127659575
