learner,n_cities,bud0c_rmse,gain_0c_1,gain_1_2,gain_2_3,monotone_pct
HistGBM (shipped),46,18.912372818803465,11.685388708831985,0.2834734704377336,40.82555307473651,100.0
HistGBM shallow,46,19.756097396499683,14.171934434699166,0.2959183853407263,40.29193011452979,97.82608695652173
RandomForest,46,19.92138402552431,13.971771084109719,0.5860255031818471,43.38194116519931,95.65217391304348
Ridge (linear),46,35.00727680251957,50.17246258766803,0.12138155398603492,38.782452854358276,100.0
